Taxa	CC	KC	Oil	ULA	FT
33-16	1	0	NA	65.89011581	81.704
38-11Goodman-Buckler	2	1	5.217237813	61.92013638	83.33
4226	NA	1	4.454917166	40.8879963	73.066
4722	1	1	4.123678283	64.06007573	83.016
A188	1	0	4.617759585	44.03481564	67.996
A214NGoodman-Buckler	1	1	3.613859993	71.00362318	87.855
A239	2	1	3.825800482	58.95890923	73.357
A272	NA	NA	NA	52.27254474	76.962
A441-5	2	1	3.476085649	53.67415701	82.101
A556	2	1	3.783966742	47.18515454	69.262
A619	1	1	3.541118839	56.81100898	73.66
A632	2	1	4.259204715	28.19117907	72.292
A634	2	1	4.344003376	27.72755009	71.932
A635	2	1	3.646659845	16.90692893	77.835
A641	1	1	3.956463387	47.46129263	68.81
A654	NA	1	4.65904457	57.57667426	65.865
A659	2	1	3.900012068	45.03208995	68.382
A661	1	1	4.924551173	54.72596317	68.236
A679	NA	1	3.285646325	73.44644236	71.534
A680	2	1	3.76465941	77.17367715	76.59
A682	2	1	3.972274498	26.18462922	71.394
A6	1	1	4.859487421	72.89461806	88.212
Ab28A	NA	1	4.998922263	68.04048922	88.027
B103	2	1	4.383215946	59.90914238	72.251
B105	2	1	3.818059288	69.71448043	80.284
B109	2	1	3.88001767	65.56824723	75.687
B10	2	1	3.576349045	40.49966946	83.929
B14A	2	1	4.258566648	38.2089244	77.727
B164	2	1	4.904517783	59.03711207	75.984
B2	NA	1	4.051537022	65.42096455	76.228
B37	2	1	3.687071981	60.68142166	79.417
B46	2	1	4.104297378	50.05236726	78.052
B52	2	1	4.477984168	65.32924647	79.689
B57	2	1	3.631404161	53.56170065	76.507
B64	NA	1	3.327038719	19.1818979	65.708
B68	NA	1	3.734442688	41.12548167	81.649
B73	2	1	3.608126497	74.53087428	75.789
B75	NA	1	4.434183473	45.51761628	76
B76	NA	1	3.513542539	47.55744263	74.811
B77	NA	1	4.908793433	52.19773244	77.959
B79	NA	1	3.622107825	68.96404736	78.057
B84	NA	1	3.564448521	62.00798553	79.428
C103	2	1	3.952985762	57.41678457	78.538
C123	2	1	4.106132256	42.23451193	74.821
C49A	1	1	NA	44.95882395	65.759
CH701-30	2	1	4.450279056	48.13588159	72.749
CH9	2	1	4.015943983	43.75644027	73.756
CI187-2	NA	1	5.759906156	43.15743488	84.018
CI21E	2	1	3.748175664	62.05471118	80.356
CI28AGoodman-Buckler	2	1	3.871553693	63.32885531	81.944
CI31A	2	1	4.710901858	61.69982445	83.701
CI3A	2	1	3.677960002	67.93410732	82.511
CI64	1	0	3.79355724	60.90326635	81.8
CI66	1	0	4.548440498	68.95719042	86.442
Ci7Goodman-Buckler	1	1	3.208790301	69.91119484	82.533
Ci90CGoodman-Buckler	2	1	4.487658083	58.47236705	84.089
Ci91BGoodman-Buckler	2	1	4.239813505	57.72241896	79.913
CM105	2	1	3.548641215	34.9460711	67.166
CM37	1	1	NA	50.92821812	64.466
CM7	1	1	3.758818134	28.84070179	66.137
CML108	NA	0	4.846640468	64.95620743	87.283
CML10	NA	0	4.663864809	72.20895127	92.229
CML11	NA	0	4.80260425	67.86651617	92.579
CML14	NA	0	4.881228889	60.24973979	97.443
CML154Q	NA	0	3.966427253	59.43255134	83.822
CML157Q	NA	0	4.74351012	74.05425674	86.957
CML158Q	NA	0	4.164402821	64.60720345	90.205
CML218	NA	0	4.577178462	67.79420507	87.272
CML220	NA	0	3.789982549	55.4821918	79.688
CML228	NA	1	4.030990748	68.63360228	92.919
CML238	NA	0	4.28737291	67.12069741	90.968
CML247	1	0	3.81584107	70.68590851	94.262
CML254	1	0	4.17561393	70.55617622	95.012
CML258	NA	0	3.762890531	67.46166821	96.203
CML261	NA	0	4.997398503	67.3129479	95.051
CML264	1	0	4.224516058	60.24973979	NA
CML277	1	0	3.885536544	67.70854804	93.062
CML281	NA	0	4.228356484	67.12069741	89.589
CML287	1	1	3.620708831	67.12069741	96.433
CML311	NA	0	4.847000872	64.89267049	95.424
CML314	NA	0	4.833126928	68.95240022	89.17
CML321	NA	0	5.345920425	63.6852186	93.607
CML322	NA	0	4.842796286	50.50289594	85.677
CML323	NA	1	4.765446692	69.49025876	84.979
CML328	NA	1	5.556619674	64.73607483	88.449
CML331	NA	0	4.199332744	62.28807315	97.139
CML332	NA	0	4.536964503	64.50173402	90.487
CML333	NA	0	5.17792651	68.53892465	87.546
CML341	NA	0	4.181051554	71.57924443	93.491
CML38	1	0	5.367708213	74.61246317	92.378
CML45	NA	0	5.315197018	67.46166821	94.64
CML52	1	1	4.632741149	67.46166821	97.847
CML5	NA	0	NA	66.05672921	94.234
CML61	NA	0	4.10930328	68.83843681	94.16
CML69	NA	1	4.677914973	72.27662356	89.967
CML77	NA	0	4.632741149	62.98107065	83.159
CML91	NA	0	4.546936703	73.3099124	88.533
CML92	NA	0	4.5917203	75.66739746	83.68
CMV3	1	1	4.632486686	30.76724393	64.609
CO106	1	1	3.176397871	40.99677116	65.472
CO125	2	1	4.743859038	63.49187916	65.846
CO255	2	1	4.400395382	38.05472446	63.807
D940Y	1	1	4.770072089	73.35926025	89.009
DE1	2	1	3.829487677	58.90133435	80.16
DE-2	NA	1	4.106132256	61.13801681	78.738
DE811	2	1	4.188247563	75.36107403	82.601
DE	NA	NA	NA	NA	NA
E2558W	1	0	4.931554259	61.86358034	83.912
EP1	1	1	4.547545603	36.42504711	66.503
F2834T	1	1	4.16082296	57.61552098	79.621
F6	1	1	5.123147378	70.57640745	88.65
F7	1	1	4.258518171	47.99956753	63.195
GA209	1	0	4.052684131	67.92089176	90.655
GT112	1	1	4.352390058	51.73426357	90.204
H105W	1	0	3.724670298	42.18445458	75.387
H49	2	1	3.800468395	38.75914115	76.703
H84	2	1	4.361026733	56.47792023	79.112
H91	2	1	3.928058614	51.17617297	77.28
H95	2	1	3.930609903	57.22038983	79.29
H99	1	1	NA	49.31377852	73.286
Hi27Goodman-Buckler	2	1	4.336500296	71.99416709	89.56
HP301	1	1	4.285098499	43.51645145	77.443
I137TN	1	1	4.283262391	75.35768397	83.25
i1677a	NA	0	NA	35.42831851	81.103
I205	NA	1	3.793463962	58.3743575	77.182
I29	NA	0	4.155856408	36.13150939	70.103
IA2132Goodman-Buckler	1	0	5.124900888	39.72240718	72.765
Ia5125	1	1	NA	29.79561718	74.855
IDS28	NA	1	4.483409141	49.57237113	77.214
IDS69	NA	1	4.119789826	57.60712748	79.723
IDS91	NA	1	3.830482634	44.31907917	75.674
Il101	1	1	5.324684147	60.71390218	71.914
Il14H	NA	0	5.984258388	38.90431724	72.129
ILLHy	2	1	NA	NA	79.039
K148	1	1	4.052507978	71.1010091	81.517
K4	NA	1	5.424962586	65.01293233	85.172
K55	NA	0	4.90896725	59.54318507	79.154
K64	NA	0	4.222497579	60.52613709	83.763
Ki11	NA	1	4.755634779	70.03516648	90.578
Ki14	1	1	5.036028577	56.58269691	90.383
Ki2021	NA	1	3.787031541	60.24973979	93.691
Ki21	1	1	4.240068809	59.99408966	84.698
Ki43	1	1	5.243088969	56.66792196	87.123
Ki44	1	1	4.477984168	66.50757508	89.062
Ky21	NA	0	3.431616046	63.75936626	84.979
KY226	1	0	3.460452411	50.82259153	81.699
KY228	NA	0	3.71260433	67.09900063	85.549
L317	NA	1	4.567794185	57.95864904	81.372
L578	NA	1	5.245359287	77.14014546	88.811
M14	2	1	4.862600462	38.51039671	74.025
M162W	NA	0	4.36556786	51.44399216	86.01
M37W	NA	0	3.625851263	45.07968188	83.399
MEF156-55-2	1	1	4.06523662	40.6328604	67.35
Mo17	2	1	3.786336161	53.75917327	76.858
Mo18W	1	0	4.196312892	67.15517623	91.035
MO1W	1	0	3.915922155	39.96617904	78.877
Mo24W	NA	0	4.465901451	74.31506488	83.141
Mo45	1	1	3.810983221	71.67563102	78.179
Mo46	2	1	4.555958006	56.08859813	81.177
Mo47	1	1	4.582448265	42.0478243	73.064
MoG	2	1	5.867880633	68.62732806	80.998
Mp339	1	0	4.943450587	69.50289518	86.006
MS1334	1	1	4.988976366	53.72464559	66.388
MS153	1	1	4.253894694	47.86152274	73.165
Mt42	2	1	3.930695131	40.12707111	65.037
N192	NA	1	4.187646194	67.90339803	70.924
N28Ht	2	1	3.323634172	63.45063874	77.186
N6	2	1	4.774520144	53.30748755	76.432
NC222	NA	1	4.682561195	74.41464366	85.459
NC230	NA	1	5.541606317	71.8947198	81.1
NC232	NA	1	3.416224127	52.5678924	82.069
NC236	NA	1	4.562474251	57.60986978	83.937
NC238	NA	1	4.598929241	74.397793	90.115
NC250	2	1	3.59442523	57.98261472	77.338
NC258	1	1	5.403229508	70.74615089	82.06
NC260	NA	1	4.97069863	67.44474303	79.904
NC262	2	1	4.469374307	55.35971507	75.137
NC264	1	1	4.918665731	54.63578219	80.03
NC290A	NA	1	4.27159914	65.17606037	81.391
NC294	NA	1	4.088960386	61.75323887	79.535
NC296A	NA	0	3.7243545	67.48492552	84.416
NC296	NA	0	3.727189726	67.40247547	83.682
NC300	NA	1	4.022378912	64.52032961	86.174
NC302	NA	1	3.527339258	69.20466328	80.667
NC304	NA	1	5.282565345	75.85517405	83.733
NC306	NA	1	4.246500604	69.44127044	79.639
NC310	NA	1	4.551733877	73.04452667	77.534
NC314	NA	1	4.656920202	58.91149389	78.77
NC318	NA	1	4.892630708	67.89002119	82.494
NC320	NA	1	5.198047034	62.77047111	83.9
NC324	NA	1	3.91158695	63.84816056	80.376
NC326	NA	1	4.044099731	74.12207368	79.273
NC328	NA	1	4.228743254	75.50873522	77.866
NC336	NA	0	4.154023166	69.44642977	86.105
NC338	NA	1	3.055997475	66.99090421	84.155
NC33	NA	0	5.054148007	74.51006296	87.768
NC340	NA	0	3.378689588	64.61558927	84.965
NC342	NA	1	5.238174971	55.21879702	77.702
NC344	NA	1	4.414065539	57.91659846	80.917
NC346	NA	0	4.48720445	66.07653967	84.048
NC348	NA	0	4.014432577	67.27921619	82.182
NC350	NA	1	5.499018447	63.98157344	83.004
NC352	NA	0	3.700345194	68.13090819	87.1
NC354	NA	1	5.103000944	70.59326794	84.06
NC356	NA	1	4.310689616	58.51341844	82.144
NC358	NA	1	3.643160724	76.75752751	79.468
NC360	NA	1	4.486175794	71.2070041	82.938
NC362	NA	1	4.18831893	60.90626344	80.85
NC364	NA	1	3.869580109	62.40267309	77.649
NC366	NA	1	5.29929145	62.7074333	85.653
NC368	NA	1	3.927583744	75.57674171	80.013
ND246	2	1	4.708945863	53.29070277	65.382
Oh40B	1	1	4.186043309	61.82950075	78.051
Oh43E	1	1	4.306214508	59.69071649	74.577
Oh603	1	1	3.828310847	62.77847948	85.299
OH7B	NA	1	4.912604722	74.21480337	85.704
Os420	NA	1	3.868746206	36.60050841	76.3
P39Goodman-Buckler	NA	1	8.415931504	30.48042798	68.675
Pa762	1	1	4.146392668	64.62774556	77.122
Pa875	1	1	3.806171217	42.60124665	78.193
Pa880	1	1	4.643645461	65.16193765	79.556
Pa91	NA	1	4.524129843	59.75744184	80.694
R168	2	1	5.100036426	54.78135592	72.007
R177	2	1	4.442686977	43.23024586	79.107
R229	1	1	3.858575779	71.81412595	79.7
R4	2	1	4.098825705	63.29117166	79.407
SA24	NA	1	4.024307129	54.78145651	80.199
SC213R	1	1	6.164491528	72.82695523	92.084
SC357	2	1	6.227826889	66.12179862	84.519
SC55	1	1	5.306228422	69.82538527	88.972
SD40	2	1	4.784653561	62.61920943	77.827
Sg1533	NA	1	4.26041094	61.06248638	79.325
Sg18	NA	1	3.804386739	39.67037901	81.765
T232	2	1	4.250067554	74.94545404	83.078
T234	1	1	4.523376776	61.00852506	83.792
T8	1	1	4.665366281	66.77734584	78.702
Tx303	NA	1	4.239212942	70.15274795	86.11
Tx601	1	1	5.639203081	60.35031384	91.929
Tzi10	1	0	4.677738753	63.6852186	91.532
Tzi11	1	0	4.554980152	72.79794927	86.806
Tzi16	2	0	4.702435594	73.66005955	83.906
Tzi18	1	1	4.672598187	72.45454313	86.927
Tzi25	1	1	4.327931506	67.29685495	85.158
Tzi9	1	0	4.300405402	62.06417053	84.834
U267Y	1	1	4.17659673	55.61829635	88.56
